Category,Number_of_Reports,Average_of_Percentage_Increase
Advance Payments for Credit Services,20617,0.00165
Auto Related,116069,0.00531428571428571
Banks and Lenders,144734,0.0058
Business and Job Opportunities,25907,0.00164
Charitable Solicitations,4492,0.0014
Computer Equipment and Software,19817,0.0064
Credit Bureaus, Information Furnishers and Report Users,138341,0.0148
Credit Cards,52845,0.017
Debt Collection,484498,0.07775
Education,16104,0.0026
Foreign Money Offers and Fake Check Scams,27590,0.0044
Funeral Services,1036,0.0003
Grants,6382,0.001
Health Care,52677,0.00154545454545455
Home Repair, Improvement and Products,18204,0.00118
Identity Theft,444344,0.1426
Imposter Scams,552480,0.03548
Internet Auction,1743,0.0006
Internet Services,64410,0.00227777777777778
Investment Related,14696,0.0012
Magazines and Books,6838,0.0022
Miscellaneous Reports,37005,0.000915384615384615
Mortgage Foreclosure Relief and Debt Management,10591,0.0017
Office Supplies and Services,5958,0.00095
Online Shopping and Negative Reviews,152973,0.02455
Privacy, Data Security, and Cyber Threats,2526,0.0008
Prizes, Sweepstakes and Lotteries,140090,0.045
Tax Preparers,4318,0.0014
Telephone and Mobile Services,80063,0.00232727272727273
Television and Electronic Media,40341,0.00433333333333333
Travel, Vacations and Timeshare Plans,32003,0.00343333333333333
Unspecified Reports,423512,0.0272
