Identity Theft Types by Age,,
,,
Age Range,Theft Type,# of Reports
19 and Under,Bank Fraud,"1,894"
19 and Under,Credit Card Fraud,"2,186"
19 and Under,Employment or Tax-Related Fraud,"13,561"
19 and Under,Government Documents or Benefits Fraud,"3,359"
19 and Under,Loan or Lease Fraud,1215
19 and Under,Other Identity Theft,"3,105"
19 and Under,Phone or Utilities Fraud,943
20 - 29,Bank Fraud,"14,395"
20 - 29,Credit Card Fraud,"65,779"
20 - 29,Employment or Tax-Related Fraud,"25,457"
20 - 29,Government Documents or Benefits Fraud,"20,620"
20 - 29,Loan or Lease Fraud,"39,009"
20 - 29,Other Identity Theft,"56,624"
20 - 29,Phone or Utilities Fraud,"21,938"
30 - 39,Bank Fraud,"19,465"
30 - 39,Credit Card Fraud,"110,952"
30 - 39,Employment or Tax-Related Fraud,"24,980"
30 - 39,Government Documents or Benefits Fraud,"45,742"
30 - 39,Loan or Lease Fraud,"67,437"
30 - 39,Other Identity Theft,"92,961"
30 - 39,Phone or Utilities Fraud,"31,064"
40 - 49,Bank Fraud,"17,563"
40 - 49,Credit Card Fraud,"78,627"
40 - 49,Employment or Tax-Related Fraud,"18,035"
40 - 49,Government Documents or Benefits Fraud,"115,533"
40 - 49,Loan or Lease Fraud,"44,958"
40 - 49,Other Identity Theft,"66,876"
40 - 49,Phone or Utilities Fraud,"20,132"
50 - 59,Bank Fraud,"15,398"
50 - 59,Credit Card Fraud,"45,175"
50 - 59,Employment or Tax-Related Fraud,"15,082"
50 - 59,Government Documents or Benefits Fraud,"127,823"
50 - 59,Loan or Lease Fraud,"23,800"
50 - 59,Other Identity Theft,"37,608"
50 - 59,Phone or Utilities Fraud,"11,251"
60 - 69,Bank Fraud,"11,201"
60 - 69,Credit Card Fraud,"21,634"
60 - 69,Employment or Tax-Related Fraud,"8,504"
60 - 69,Government Documents or Benefits Fraud,"63,071"
60 - 69,Loan or Lease Fraud,"9,589"
60 - 69,Other Identity Theft,"16,877"
60 - 69,Phone or Utilities Fraud,"5,739"
70 - 79,Bank Fraud,"5,034"
70 - 79,Credit Card Fraud,"8,014"
70 - 79,Employment or Tax-Related Fraud,"3,516"
70 - 79,Government Documents or Benefits Fraud,"16,497"
70 - 79,Loan or Lease Fraud,2898
70 - 79,Other Identity Theft,"5,454"
70 - 79,Phone or Utilities Fraud,"2,122"
80 and Over,Bank Fraud,"1,590"
80 and Over,Credit Card Fraud,"2,056"
80 and Over,Employment or Tax-Related Fraud,2139
80 and Over,Government Documents or Benefits Fraud,2806
80 and Over,Loan or Lease Fraud,618
80 and Over,Other Identity Theft,1456
80 and Over,Phone or Utilities Fraud,463
,,
"Of the 1,387,615 total identity theft reports in 2020, 89% included consumer age information.",,
,,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",,
